'bi'kang'de 鼻康德
'bai'geng 白颈
'ba'wang'bian 霸王鞭
'nao'sai'tong'wan 脑塞通丸
'nao'se'tong'wan 脑塞通丸
'he'tai'shi'niu'huang'yuan 和太师牛黄圆
'hu'tai'shi'niu'huang'yuan 和太师牛黄圆
'huo'tai'shi'niu'huang'yuan 和太师牛黄圆
'yin'xu'huo'fu'zheng 阴虚火浮证
'ti'du'san 提毒散
'di'du'san 提毒散
'ti'dai'san 提毒散
'di'dai'san 提毒散
'shang'wei'quan'yu 尚未痊愈
'biao'han 表寒
'xuan'zhu'zhi'bing 悬珠痔病
'zhong'hua'ting'zi'biao 中华莛子藨
'zhong'hua'ting'zi'pao 中华莛子藨
'yi'sao'guang'chuang'yao 一扫光疮药
'qian'lie'xian'te'yi'xing'kang'yuan 前列腺特异性抗原
'guang'guo'nan'she'teng 光果南蛇藤
'guang'guo'na'she'teng 光果南蛇藤
'guang'guo'nan'yi'teng 光果南蛇藤
'guang'guo'na'yi'teng 光果南蛇藤
'qing'fan'san 青矾散
'zhi'qin'tang 栀芩汤
'zhi'qin'shang 栀芩汤
'tian'he'zhui'feng'gao 天和追风膏
'zao'suan'shuang'zhi'na'zhu'she'ye 藻酸双酯钠注射液
'qian'chui'gao 千捶膏
'fang'ji 方剂
'shu'shi'shang'pi'zheng 暑湿伤脾证
'wu'hui'cao 乌喙草
'chai'zi'gu 钗子股
'hei'hua'zi'ju 黑花紫菊
'lv'dou 绿豆
'yi'pi'san 益脾散
'yan'suan'qiang'qin 盐酸羟嗪
'fu'fang'jia'xiao'zuo'ru'gao 复方甲硝唑乳膏
'qian'jin'zhi'ke'wan 千金止咳丸
'shao'ze 少泽
'shao'shi 少泽
'ma'xing'zhi'ke'ke'li 麻杏止咳颗粒
'xue'yu'ti'zhi 血瘀体质
'er'shi'wu'wei'zhang'ya'cai'san 二十五味獐牙菜散
'qian'cong 钱葱
'tuo'jia'tang 鼍甲汤
'tuo'jia'shang 鼍甲汤
'zhu'you 猪油
'ce'bai'sheng'jiang'jiu 侧柏生姜酒
'hong'hua'san'yu'tang 红花散瘀汤
'hong'hua'san'yu'shang 红花散瘀汤
'qu'chong'wan 驱虫丸
'xing'pi'sheng'xian'tang 醒脾升陷汤
'xing'pi'sheng'xian'shang 醒脾升陷汤
'shan'li'chun'zhu'she'ye 山梨醇注射液
'ying'e 樱额
'ru'xiang'mei'yao'yuan 乳香没药圆
'ru'xiang'mo'yao'yuan 乳香没药圆
'pai'nong'zhi'ke'fang 排脓止渴方
'qu'shu'ping'wei'san 去术平胃散
'qu'zhu'ping'wei'san 去术平胃散
'bai'wei'sun 百尾笋
'bai'yi'sun 百尾笋
'ke'mei'zuo'yin'dao'pao'teng'pian 克霉唑阴道泡腾片
'bai'zi'jian'gong'wan 柏子建宫丸
'bo'zi'jian'gong'wan 柏子建宫丸
'xiao'tan'bing'zi 消痰饼子
'hu'gu'xu'duan'jiu 虎骨续断酒
'ji'bing 疾病
'shuang'hu'qing'gan'ke'li 双虎清肝颗粒
'zhou'bi 周痹
'shi're'yun'zheng'zheng 湿热蕴蒸证
'gou'qi'zi 枸杞子
