'bi'kang'de 鼻康德
'rou'dou'kou'yi 肉豆蔻衣
'yun'mu'xiang 云木香
'gu'ci'pian 骨刺片
'san'ding'gao 散疔膏
'jia'jian'she'gan'shu'nian'tang 加减射干鼠粘汤
'jia'jian'she'gan'shu'zhan'tang 加减射干鼠粘汤
'jia'jian'she'gan'shu'nian'shang 加减射干鼠粘汤
'jia'jian'she'gan'shu'zhan'shang 加减射干鼠粘汤
'di'gao'yao 地膏药
'de'gao'yao 地膏药
'yu'zu'xiong'xie'zheng 瘀阻胸胁证
'an'kai'shu'ke'li 安凯舒颗粒
'qing'yan'jie'du'san 清咽解毒散
'lu'gen'jiang'su'cha 芦根姜苏茶
'bu'xue'tiao'jing'pian 补血调经片
'jian'wei'yu'yang'ke'li 健胃愈疡颗粒
'bu'lao'tang'lu'bian'gao 不老堂鹿鞭膏
'shao'yao'huang'qin'tang 芍药黄芩汤
'shao'yao'huang'qin'shang 芍药黄芩汤
'gan'mai'da'zao'tang 甘麦大枣汤
'gan'mai'da'zao'shang 甘麦大枣汤
'ku'liu'gao 枯瘤膏
'suo'jia'si'tan'pao'teng'pian 羧甲司坦泡腾片
'bei'ta'mi'song'pian 倍他米松片
'rou'gen'huan'yang'can 肉根还阳参
'rou'gen'huan'yang'shen 肉根还阳参
'rou'gen'huan'yang'cen 肉根还阳参
'rou'gen'huan'yang'san 肉根还阳参
'xiao'er'kang'xian'jiao'nang 小儿抗痫胶囊
'bang'shuang'san 蚌霜散
'beng'shuang'san 蚌霜散
'jing'du'nian'ci'an'mi'lian'chuan'bei'pi'pa'gao 京都念慈庵蜜炼川贝枇杷膏
'dou'chi'cao 豆豉草
'san'wei'hong'tang'san 三味红汤散
'san'wei'gong'tang'san 三味红汤散
'san'wei'hong'shang'san 三味红汤散
'san'wei'gong'shang'san 三味红汤散
'chan'fu'xin'ke'li 产复欣颗粒
'bi'hu'san 壁虎散
'yin'nuo'ke'zhen'xian'pian 银诺克镇痫片
'zuo'jin'wan 左金丸
'kuai'tou'san 快透散
'san'zhu'kou'fu'ye 三株口服液
'heng'shou'tang'sha'yu'gan'you 恒寿堂鲨鱼肝油
'xiong'qu'yang'dan'suan'ruan'jiao'nang 熊去氧胆酸软胶囊
'bie'jia'dao'jing'wan 鳖甲导经丸
'wu'mei'dan'sha'wan 乌梅丹砂丸
'da'dou'lin'zhi'fen 大豆磷脂粉
'cao'guo'si'wei'tang'san 草果四味汤散
'cao'guo'si'wei'shang'san 草果四味汤散
'dan'pi'fen'ruan'gao 丹皮酚软膏
'dan'shen'yi'xin'jiao'nang 丹参益心胶囊
'ge'shan 膈疝
'ling'zhu'san 羚珠散
'lu'shi'yi'fang'gan'ying'yuan 卢氏异方感应圆
'shuang'xin'bi'dou'yan'ke'li 双辛鼻窦炎颗粒
'shun'xing'tang 顺性汤
'shun'xing'shang 顺性汤
'wu'ren'run'chang'wan 五仁润肠丸
'lian'yu 鲢鱼
'zai'ti'ji'su'lei'yao'wu 甾体激素类药物
'wu'zi'yan'zong'kou'fu'ye 五子衍宗口服液
'ye'ma'rou 野马肉
'jiao'jiao'lan 绞胶蓝
'jia'ji'chu'shi'tang 加剂除湿汤
'jia'ji'chu'shi'shang 加剂除湿汤
'san'wu'xiao'bai'san 三物小白散
'zhui'yao'yin 追疟饮
'dui'yao'yin 追疟饮
'xing'ling'jiao'nang 杏灵胶囊
'wen'zhong'zhen'tong'wan 温中镇痛丸
'xi'huang'jie'du'jiao'nang 西黄解毒胶囊
'que'ci'chun'pian 炔雌醇片
'fu'pen'zi'ye 覆盆子叶
'fu'pen'zi'xie 覆盆子叶
'pi'pian 劈片
'fa'mo'ti'ding'zhu'she'ye 法莫替丁注射液
'lu'xue 鹿血
'ca'ya'niu'huang'qing'dai'san 擦牙牛黄青黛散
'jian'pi'hua'tan'kai'yu'xing'qi'wan 健脾化痰开郁行气丸
'zao're 燥热
'pi'zhang'yin'zi 辟瘴饮子
'bi'zhang'yin'zi 辟瘴饮子
'hui'ye'nan'she'teng 灰叶南蛇藤
'hui'xie'nan'she'teng 灰叶南蛇藤
'hui'ye'na'she'teng 灰叶南蛇藤
'hui'ye'nan'yi'teng 灰叶南蛇藤
'hui'xie'na'she'teng 灰叶南蛇藤
'hui'xie'nan'yi'teng 灰叶南蛇藤
'hui'ye'na'yi'teng 灰叶南蛇藤
'hui'xie'na'yi'teng 灰叶南蛇藤
'ga'pen'suan'pu'an'zhu'she'ye 钆喷酸葡胺注射液
'zhao'hai 照海
'wu'gong'qi'gen 蜈蚣旗根
'zhen'dai'san 珍黛散
'si'shen'gu'zhi'yu'wu'yu 四神故纸与吴萸
'bao'wei'jiao'nang 保胃胶囊
'zi'jing'ya 紫荆桠
'zi'jin'ya 紫荆桠
'shen'yang'bu'zu 肾阳不足
'huang'ming'jiao'san 黄明胶散
'feng'long'tang 蜂龙汤
'feng'long'shang 蜂龙汤
'bai'wei 白薇
'di'huang'tong'jing'wan 地黄通经丸
'gan'bo'zong 甘伯宗
'gan'bai'zong 甘伯宗
'gan'ba'zong 甘伯宗
'shi'ban'mu'gen 石斑木根
'shuang'sang'jiang'ya'cha 双桑降压茶
'pang'qi 旁其
'bang'qi 旁其
'pang'ji 旁其
'bang'ji 旁其
'lie'ti 裂蹄
'ba'bao'zhou 八宝粥
'jin'qian'cao'jiao'nang 金钱草胶囊
'dian'yan'xue'hua'wan 点眼雪花丸
'tie'tan'yuan 铁弹圆
'tie'dan'yuan 铁弹圆
'huang'bai'jian'wan 黄柏煎丸
'san'hua'wu'zi'wan 三花五子丸
'luo'bu'ma'ye'chong'ji 罗布麻叶冲剂
'gui'ban'wan 龟版丸
'jun'ban'wan 龟版丸
'qiu'ban'wan 龟版丸
'jia'wei'xu'ming'tang 加味续命汤
'jia'wei'xu'ming'shang 加味续命汤
'shuang'hua'xing'mi'cha 双花杏蜜茶
'fu'hu'wan 缚虎丸
'huang'jue'shu'gen'ge'da 黄桷树根疙瘩
'zhi'yi'qing'liang'san 治疫清凉散
'mao'jing'ma'lan 毛茎马兰
'feng'xian'hua 风仙花
'hong'luo'ta 红螺塔
'ku'pi'teng 苦皮藤
'ding'chuan'ning'fei'wan 定喘宁肺丸
'shang'hai'luo'shi'he'sai'ting'he'sai'ting'jia'ge'he'sai'ting'shuo'ming'shu 上海罗氏赫赛汀赫赛汀价格赫赛汀说明书
'niu'xi'hai'tong'jian'wan 牛膝海桐煎丸
'yu'lan'jiang'tang'jiao'nang 玉兰降糖胶囊
'qiu'ji'yi'suan 巯基乙酸
'chong'bing'hui'chong'bing 虫病蛔虫病
'shui'zhi'gen 水栀根
'jiang'ju'bai'zhu'tang 姜橘白术汤
'jiang'ju'bai'shu'tang 姜橘白术汤
'jiang'ju'bai'zhu'shang 姜橘白术汤
'jiang'ju'bai'shu'shang 姜橘白术汤
'jiang'qi 降气
'li'shi'hua'yu'yin 利湿化瘀饮
'bai'qian 白前
'hong'dian'jin'she 红点锦蛇
'hong'dian'jin'yi 红点锦蛇
'han'mei 寒莓
'jing'fang'san 荆防散
'run'chang'wan 润肠丸
'cao'di'huang'qin 草地黄芩
'qin'shu'zhi'ke'tang 芩术枳壳汤
'qin'zhu'zhi'ke'tang 芩术枳壳汤
'qin'shu'zhi'ke'shang 芩术枳壳汤
'qin'zhu'zhi'ke'shang 芩术枳壳汤
'ming'men'huo'shuai 命门火衰
'ming'men'huo'cui 命门火衰
'chuan'mei 川莓
'ke'ying'wan 克应丸
'kai'wei'san 开胃散
'dang'gui'cong'bai'tang 当归葱白汤
'dang'gui'cong'bai'shang 当归葱白汤
'she'lei'tai'mei'pian 舍雷肽酶片
'ao'mei'la'zuo 奥美拉唑
'jing'fu'san 净府散
'cheng'fu'san 净府散
'xiao'bian'xu 小扁蓄
'xiao'pian'xu 小扁蓄
'pu'quan'nei'zhi'jiao'nang 葡醛内酯胶囊
'wen'wei'jian'pi'wan 温胃健脾丸
'xin'gan'shuang'jie'yin 心肝双解饮
'yi'zui'san 一醉散
'pu'di'wu'gong 铺地蜈蚣
'yu'shang'ling'jiao'nang 愈伤灵胶囊
'yang'zheng 阳证
'fu'lao'wan 扶老丸
'yi'ma'er'zhi'wan 一麻二至丸
'gua'lou'gui'zhi'tang 栝楼桂枝汤
'dou'fu'zha 豆腐渣
'ding'jiao'shou'er'long'tong'qiao'wan 丁教授耳聋通窍丸
'zheng'jiao'shou'er'long'tong'qiao'wan 丁教授耳聋通窍丸
'jia'jian'xiao'jian'zhong'tang 加减小建中汤
'jia'jian'xiao'jian'zhong'shang 加减小建中汤
'xin'gan'feng'huo'zheng 心肝风火证
'qu'feng'hua'tan'wan 祛风化痰丸
'da'gou'wei'cao 大狗尾草
'da'gou'yi'cao 大狗尾草
'chui'liu'tang 垂柳汤
'chui'liu'shang 垂柳汤
'su'hua 苏花
'qian'can'san 铅参散
'qian'shen'san 铅参散
'qian'cen'san 铅参散
'qian'san'san 铅参散
'yan'can'san 铅参散
'yan'shen'san 铅参散
'yan'cen'san 铅参散
'yan'san'san 铅参散
'pang'qi'wan 螃蜞丸
'qian'nian'ai 千年艾
'qian'nian'yi 千年艾
'que 炔
'gui 炔
'sa'qiong'ri'bu 萨琼日布
'hu'gu'fang 虎骨方
'zhen'zhu'long'nao'sheng'ji'san 珍珠龙脑生肌散
'chai'hu'gen'chao 柴胡根炒
'zi'bei'tian'kui'cao 紫背天葵草
'run'fei'hua'he'gao 润肺化核膏
'run'fei'hua'hu'gao 润肺化核膏
'zhi'zhu'guo 蜘蛛果
'xiu'zheng'ge'er'pao'teng'pian 修正格尔泡腾片
'dan'tuo'ye'suan'si'ji'tang'shen'jing'jie'gan'zhi'na 单唾液酸四己糖神经节苷脂钠
'shan'tuo'ye'suan'si'ji'tang'shen'jing'jie'gan'zhi'na 单唾液酸四己糖神经节苷脂钠
'chan'tuo'ye'suan'si'ji'tang'shen'jing'jie'gan'zhi'na 单唾液酸四己糖神经节苷脂钠
'yi'qi'huo'xue'fang 益气活血方
'tong'guan'yin 通关饮
'biao'shi'liu'he'tang 表实六合汤
'biao'shi'liu'he'shang 表实六合汤
'ding'yang'jun'zhi 啶氧菌酯
'song'ye'jiu 松叶酒
'yin'mo'wan 银末丸
'gou'qi'ye 枸杞叶
'gou'ji'ye 枸杞叶
'gou'qi'xie 枸杞叶
'gou'ji'xie 枸杞叶
'bing'qing'fan'jia'zhong 病情反加重
'yi'wei'tang 益胃汤
'yi'wei'shang 益胃汤
'hong'luo'bo'bi'qi'cha 红萝卜荸荠茶
'hong'luo'bo'bi'ji'cha 红萝卜荸荠茶
'qi'wei'xiao'zhong'wan 七味消肿丸
'wei'suo'xing'bi'yan'zhong'yao 萎缩性鼻炎中药
'jiang'nan'xing'jue 江南星蕨
'ge'le'man 葛勒蔓
'ge'lei'man 葛勒蔓
'ge'le'wan 葛勒蔓
'ge'lei'wan 葛勒蔓
'bai'jiang'cao 败酱草
'tu'xian'mo 吐涎沫
'jian'xian'chi'lan'bing 睑弦赤烂病
'jie'gan'qing'wei'yin 解肝清胃饮
'xie'gan'qing'wei'yin 解肝清胃饮
'tong'sai'mai'ke'li 通塞脉颗粒
'tong'se'mai'ke'li 通塞脉颗粒
'tong'sai'mo'ke'li 通塞脉颗粒
'tong'se'mo'ke'li 通塞脉颗粒
'ba'wei'yi'shen'wan 八味益肾丸
'shi'chuan'tong'guan'san 世传通关散
'he'gan'san 和肝散
'hu'gan'san 和肝散
'huo'gan'san 和肝散
'xia'zhi'shi'che'ju'nei'zhi 夏至矢车菊内酯
'chong'tian'guo 冲天果
'di'huang'jia'jian'tang 地黄加减汤
'di'huang'jia'jian'shang 地黄加减汤
'shan'hu'hua 珊瑚花
'hu'tian'you 胡天佑
'yao'jia 药价
'zhi'shi'can'pu'tang 枳实参朴汤
'zhi'shi'can'piao'tang 枳实参朴汤
'zhi'shi'shen'pu'tang 枳实参朴汤
'zhi'shi'can'po'tang 枳实参朴汤
'zhi'shi'shen'piao'tang 枳实参朴汤
'zhi'shi'cen'pu'tang 枳实参朴汤
'zhi'shi'san'pu'tang 枳实参朴汤
'zhi'shi'cen'piao'tang 枳实参朴汤
'zhi'shi'san'piao'tang 枳实参朴汤
'zhi'shi'shen'po'tang 枳实参朴汤
'zhi'shi'can'pu'shang 枳实参朴汤
'zhi'shi'can'piao'shang 枳实参朴汤
'zhi'shi'cen'po'tang 枳实参朴汤
'zhi'shi'san'po'tang 枳实参朴汤
'zhi'shi'shen'pu'shang 枳实参朴汤
'zhi'shi'can'po'shang 枳实参朴汤
'zhi'shi'shen'piao'shang 枳实参朴汤
'zhi'shi'cen'pu'shang 枳实参朴汤
'zhi'shi'san'pu'shang 枳实参朴汤
'zhi'shi'cen'piao'shang 枳实参朴汤
'zhi'shi'san'piao'shang 枳实参朴汤
'zhi'shi'shen'po'shang 枳实参朴汤
'zhi'shi'cen'po'shang 枳实参朴汤
'zhi'shi'san'po'shang 枳实参朴汤
'ya'jing'xi'jiao'yin'zi 压惊犀角饮子
'jiu'zhi'tang'lv'jiao'bu'xue'ke'li 九芝堂驴胶补血颗粒
'chai'ge'bai'du'san 柴葛败毒散
'su'gan'wan 苏感丸
'tan'xian'yong'sheng 痰涎壅盛
'tan'xian'yong'cheng 痰涎壅盛
'feng'sao'yin'zhen 风瘙瘾疹
'xiang'ru'tang 香薷汤
'xiang'ru'shang 香薷汤
'wu'zhu'yu'jia'fu'zi'tang 吴茱萸加附子汤
'chao'sao'zhou'cai 炒扫帚菜
'qu'xue'tang 去血汤
'qu'xie'tang 去血汤
'qu'xue'shang 去血汤
'qu'xie'shang 去血汤
'chang'song 长松
'zhi'shu'san 枳术散
'zhi'zhu'san 枳术散
'wu'se'gao 五色膏
'san'bai'cao'gan'yan'ke'li 三白草肝炎颗粒
'nan'fen'san 南粉散
'na'fen'san 南粉散
'qing'qi'hua'tan'wan 清气化痰丸
'bai'bu'tang 百部汤
'bai'bu'shang 百部汤
'tou'bao'jun'su'mei 头孢菌素酶
'zhi'shi'ping'wei'wan 治湿平胃丸
'ding'tong'xiang'jin'gao 定痛香津膏
'zhong'yao'zi'yuan'xue 中药资源学
'dian'bi'le 碘必乐
'dian'bi'yue 碘必乐
'dian'bi'lao 碘必乐
'ci'zhu'tuo 慈竹箨
'jia'huang'suan'fen'tuo'la'ming'ke'li 甲磺酸酚妥拉明颗粒
'jiao'fa'jiu 角发酒
'jue'fa'jiu 角发酒
'tong'ya'mi 同牙咪
'ma'zhen'feng'zhen'lian'he'jian'du'huo'yi'miao 麻疹风疹联合减毒活疫苗
'ying'de'bao 婴德保
'hu'ma'ren 胡麻仁
'di'huai 地槐
'de'huai 地槐
'an'tong'sheng'xiao'er'an'fen'wan'an'ke'li 安童生小儿氨酚烷胺颗粒
'jie'yu'wan'shui'wan 解郁丸水丸
'pang'guang'qi'hua'bu'li 膀胱气化不利
'ji'yin'hua 济银花
'wu'san'xiao'du'yin 雾散消毒饮
'xi'gua'da'suan'fang 西瓜大蒜方
'zhu'she'yong'mi'ka'fen'jing'na 注射用米卡芬净钠
'zhu'she'yong'mi'ka'fen'cheng'na 注射用米卡芬净钠
'tang'ju'hong 糖橘红
'zhu'dan'fen'bo'he'nao'ruan'gao 猪胆粉薄荷脑软膏
'bu'shen'shi'hu'wan 补肾石斛丸
'xiang'shi'teng 香石藤
'xiang'dan'teng 香石藤
'qing'teng'zi 青藤子
'huan'shi'jiao'nang 缓释胶囊
'si'chao'zhi'ke'wan 四炒枳壳丸
'sang'ji'sheng 桑寄生
'qu'feng'tong'luo'yao'jiu 驱风通络药酒
'teng'wu 藤乌
'kun'shun'wan 坤顺丸
'xue'zai'sheng'pian 血再生片
'xie'zai'sheng'pian 血再生片
'qiang'li'feng'ru'jiang'jiao'wan 强力蜂乳浆胶丸
'ji'zi'fen 鸡子粉
'san'xiang'san 三香散
'yi'chang'jia'mi 宜昌荚蒾
'niu'huang'qing'gong'wan 牛黄清宫丸
'luo'bu'ma'ye 罗布麻叶
'luo'bu'ma'xie 罗布麻叶
'qi'wei'xin'xiao'wan 七味新消丸
'hong'hua'huo'xue'tang 红花活血汤
'hong'hua'huo'xue'shang 红花活血汤
'chuan'xiong'su'mu'tang 川芎苏木汤
'chuan'xiong'su'mu'shang 川芎苏木汤
'zi'wei'tang 紫葳汤
'zi'wei'shang 紫葳汤
'ju'pi 桔皮
'su'xiao'jiu'xin 速效救心
'xiao'ding'xiang'wan 小丁香丸
'er'xue'zhong 耳血肿
'da'jie'san 大解散
'shun'yuan'san 顺元散
'tian'xian'san 天仙散
'bao'xin'ning'jiao'nang 保心宁胶囊
'hua'yu'qing'san'tang 化瘀清散汤
'hua'yu'qing'san'shang 化瘀清散汤
'xue'lian'yao'jiu 雪莲药酒
'bang'jin'san 蚌津散
'beng'jin'san 蚌津散
'he'wei'xiao'pi'wan 和胃消痞丸
'hu'wei'xiao'pi'wan 和胃消痞丸
'huo'wei'xiao'pi'wan 和胃消痞丸
'xie'sha'tan'qing'lv'sai'qin'jiao'nang 缬沙坦氢氯噻嗪胶囊
'xiao'er'hui'chun'dan 小儿回春丹
'zhong'yi'ai'jiu 中医艾灸
'shi'jiao'qi 湿脚气
'fu'fang'jian'pi'shu'ling'tang 复方健脾术苓汤
'fu'fang'jian'pi'zhu'ling'tang 复方健脾术苓汤
'fu'fang'jian'pi'shu'ling'shang 复方健脾术苓汤
'fu'fang'jian'pi'zhu'ling'shang 复方健脾术苓汤
'shi'zhuo'nei'yun'zheng 湿浊内蕴证
'ding'ji'yin 定悸饮
'ci'zhu'hua 慈竹花
'di'huang'xiong'qiong'wan 地黄芎穷丸
'tiao'jing'yi'ling'pian 调经益灵片
'liu'shu'chun'tu'jia'cha 刘树春土家茶
'qing're'li'shi'tang 清热利湿汤
'qing're'li'shi'shang 清热利湿汤
'xiao'mai'fu 小麦麸
'bao'er'an'ke'li 保儿安颗粒
'er'zi'xiao'du'san 二子消毒散
'xian'he'cao'fen 仙鹤草酚
'suo'yi'er'zhe 所以尔者
'zhu'ye'jiao'ye 竹叶椒叶
'zhu'ye'jiao'xie 竹叶椒叶
'feng'wang'jiang'dong'gan'fen'jiao'nang 蜂王浆冻干粉胶囊
'di'huang'men'dong'jiu 地黄门冬酒
'si'fang'hao 四方蒿
'dou'juan 豆卷
'ju'hua'yan'ling'gao 菊花延龄膏
'chen'pi'ban'xia'tang 陈皮半夏汤
'chen'pi'ban'xia'shang 陈皮半夏汤
'shu'sheng'yi'li'dan 鼠圣一粒丹
'bian'que'zeng'qing'wan 扁鹊曾青丸
'bian'que'ceng'qing'wan 扁鹊曾青丸
'ping'heng'rong'ye 平衡溶液
'leng'jin'gao 冷金膏
'chi'se're'tong 赤涩热痛
'huang'she'san 黄蛇散
'huang'yi'san 黄蛇散
'qing'feng'san 清风散
'mu'lian 木莲
'di'huang'zhou 地黄粥
'di'huang'yu 地黄粥
'tui'guang'gan'ge'tang 推广干葛汤
'tui'guang'gan'ge'shang 推广干葛汤
'chuan'hu'ning'zhu'she'ye 穿琥宁注射液
'yin'chen'geng 茵陈羹
'sheng'zhi'jun'si 生殖菌丝
'chi'xin'yin 豉心饮
'xiao'hu'jiao'wan 小胡椒丸
'xiao'kui'hua'fei're'ke'chuan'kou'fu'ye 小葵花肺热咳喘口服液
'yi'shen'san 益肾散
'jie'gu'qi'li'jiao'nang 接骨七厘胶囊
'zhi'huang'can'jiang'tong'fu'cha 枳黄参姜通腑茶
'zhi'huang'shen'jiang'tong'fu'cha 枳黄参姜通腑茶
'zhi'huang'cen'jiang'tong'fu'cha 枳黄参姜通腑茶
'zhi'huang'san'jiang'tong'fu'cha 枳黄参姜通腑茶
'shu'jin'huo'xue'tang 舒筋活血汤
'shu'jin'huo'xue'shang 舒筋活血汤
'quan'xie'sheng'pi'san 全蝎生皮散
'jiao'gu'lan'zong'gan'di'wan 绞股蓝总苷滴丸
'ban'xia'hua'tan'wan 半夏化痰丸
'bai'zhi'hu'xin'san 白芷护心散
'shi'qin'shu 石琴薯
'dan'qin'shu 石琴薯
'qing'hao'jian'wan 青蒿煎丸
'shen'rong'gu'ben'hai'shao'dan 参茸固本还少丹
'jin'sha'teng 金沙藤
'xiu'qiu'fang'feng 绣球防风
'xi'jun'chong 细菌虫
'gu'ci'ning'pian 骨刺宁片
'wei'gan'fu'tai'pian 维肝福泰片
'yang'pi'yuan 养脾圆
'liu'suan'luo'tong'ding'pian 硫酸罗通定片
'zhong'ru'shi'wan 钟乳石丸
'shan'zhuang'jiang'zhi'pian 山庄降脂片
'ren'shen'gu'ben'tang 人参固本汤
'ren'shen'gu'ben'shang 人参固本汤
'jiang'dou'ke 豇豆壳
'gang'dou'ke 豇豆壳
'jiang'dou'qiao 豇豆壳
'gang'dou'qiao 豇豆壳
'han'shi'qu'du'san 韩氏驱毒散
'han'shi'qu'dai'san 韩氏驱毒散
'shuang'qing'lian'mei'su 双氢链霉素
'tong'jing'kou'fu'ye 痛经口服液
'zhou'shao'lan 绉杓兰
'zhou'biao'lan 绉杓兰
'li'gao 梨膏
'li'mao'qiu 栗毛球
'bi'shan 鼻煽
'sou'feng'hua'tan'wan 搜风化痰丸
'qi'ying'liang'fan'zheng 气营两燔证
'huang'han'wu'lan'tang 黄汗吴蓝汤
'huang'han'wu'lan'shang 黄汗吴蓝汤
'da'feng'zi'gao 大风子膏
'luo'han'cha'hua'zhuo'ke'li 罗汉茶化浊颗粒
'gou'wen 钩吻
'sheng'hong'qing're'jiao'nang 胜红清热胶囊
'sheng'gong'qing're'jiao'nang 胜红清热胶囊
'an'lu'zi 庵闾子
'an'lv'zi 庵闾子
'wu'ming'mu'pi 无名木皮
'wei'su'ke'li 胃苏颗粒
'jiang'peng'gao 绛硼膏
'ku'hu'ye 苦瓠叶
'ku'hu'xie 苦瓠叶
'zhu'du'jian'wan 猪肚煎丸
'bai'fan'dou 白饭豆
'ji'gu'cao'gan'yan'wan 鸡骨草肝炎丸
'shu'shi'kun'zu'zhong'jiao'zheng 暑湿困阻中焦证
'da'tie'gu'san 大铁箍散
'dai'tie'gu'san 大铁箍散
'tai'tie'gu'san 大铁箍散
'hua'zheng'hui'sheng'dan 化症回生丹
'xian'he'cao 仙鹤草
'wu'du'dan 五毒丹
'shui'xia'zi'cao 水虾子草
'hai'zhou'chang'shan 海州常山
'shang'hai'ai'de'fa'zhi'yao'you'xian'gong'si 上海爱的发制药有限公司
'yuan'ye'bai'yang'shu 圆叶白杨树
'yuan'xie'bai'yang'shu 圆叶白杨树
'huang'ma'san 黄马散
'hei'yun'san 黑云散
'ji'lin'lu'rong 吉林鹿茸
'xiao'er'tui'shao'tie 小儿退烧贴
'feng'han'wai'xi'zheng 风寒外袭证
'xing'dian 星甸
'xing'sheng 星甸
'xing'tian 星甸
'cang'shao'wan 苍芍丸
'a'la'mo'lin 阿拉莫林
'fu'fang'nan'ban'lan'gen'chong'ji 复方南板蓝根冲剂
'fu'fang'na'ban'lan'gen'chong'ji 复方南板蓝根冲剂
'fan'wei'hu'du'dan 翻胃虎肚丹
'ding'tong'tang 定痛汤
'ding'tong'shang 定痛汤
'mu'huan'zi 木患子
'yin'shi'xue 阴市穴
'yu'zheng 郁证
'xian'suan'zai 咸酸仔
'xian'suan'zi 咸酸仔
'suo'yang'gu'jing'wan 锁阳固精丸
'yin'fen'san'ruan'gao 银粉散软膏
'zhi'shou'wu 炙首乌
'diao'deng'long 吊灯笼
'zhu'she'yong'cu'suan'liang'bing'rui'lin'wei'qiu 注射用醋酸亮丙瑞林微球
'duo'li'ke'ruan'jiao'nang 多立克软胶囊
'gan'jiang'ren'shen'wan 干姜人参丸
'ci'shi'wan 磁石丸
'shang'qiu 商丘
'gan'pi'xue'xu 肝脾血虚
'yin'jia'san 银甲散
'san'jian'gao 三建膏
'xiao'er'shuang'jie'zhi'xie'ke'li 小儿双解止泻颗粒
'yun'tou 云头
'ru'pi'san'jie'jiao'nang 乳癖散结胶囊
'mi'chuan'jin'bo'zhen'xin'wan 秘传金箔镇心丸
'huai'jiao'pian 槐角片
'ping'gan'xi'feng'yao 平肝熄风药
'ben'bing'chun'jiao'wan 苯丙醇胶丸
'qing'bu'xun 青布熏
'huo'xue'li'shang'wan 活血理伤丸
'ba'wei'qin'pi'wan 八味秦皮丸
'bing'lang'zi 槟榔子
'hai'cong'san 海葱散
'kang'gan'ke'li 抗感颗粒
'xiu'yan'fang'tian'xiang'san 羞颜坊天香散
'bu'ti'jie'he'fan'ying 补体结合反应
'da'an'san 大安散
'yan'suan'lai'an'suan'pu'tao'tang'zhu'she'ye 盐酸赖氨酸葡萄糖注射液
'pi'yue'wan 脾约丸
'pi'yao'wan 脾约丸
'ting'li'qing'fei'tang 葶苈清肺汤
'ting'li'qing'fei'shang 葶苈清肺汤
'da'guo'yi'gao'yao 大国医膏药
'chuan'bei'mo'jiao'nang 川贝末胶囊
'si'wu'tang'jia'jian 四物汤加减
'bai'ling'jiao'nang 百令胶囊
'jiang'xi'bao 浆细胞
'xiang'su'san 香苏散
'xiao'shi'pian 消石片
'xiao'dan'pian 消石片
'fu'fang'an'fen'yu'min'kou'fu'ye 复方氨酚愈敏口服液
'xing'shen'yi'qi'tang 醒神益气汤
'xing'shen'yi'qi'shang 醒神益气汤
'zui'xia'jiu 醉虾酒
'xing'su'gan'mao'chong'ji 杏苏感冒冲剂
'hao'qin'qing'dan'zhi'zhu'ru 蒿芩清胆枳竹茹
'xiao'er'fei'qi'xu'ruo'zheng 小儿肺气虚弱证
'lu'zhi 鹿脂
'jia'wei'sheng'yu'tang 加味圣愈汤
'jia'wei'sheng'yu'shang 加味圣愈汤
'zhu'she'yong'xue'sai'tong 注射用血塞通
'dan'wang'ke'li 丹王颗粒
'deng'kuan'lin'mao'jue 等宽鳞毛蕨
'xi'lian'wan 欷莶丸
'xi'xian'wan 欷莶丸
'tong'ling'san 通灵散
'ren'zi'bao'zhi 人自报之
'xiang'ju'bing 香橘饼
'hu'po'di'huang'san 琥珀地黄散
'xin'huang'pian 新癀片
'sao'wu'dan 扫雾丹
'li'dan'ba'wei'san 利胆八味散
'mai'xian'shu 脉弦数
'gan'fu 甘氟
'xian 涎
'fu'shen'wan 茯神丸
'fu'shen'dan 茯神丹
'mian'hua'chuang'dian'yao 棉花疮点药
'zhu'qi'san 主气散
'dai'huang'tan'suan'qing'na 大黄碳酸氢钠
'dang'gui'liu'jin'gao 当归流浸膏
'xin'fan'zao'rao 心烦躁扰
'ji'bai'tiao'san 鸡白调散
'ji'bai'diao'san 鸡白调散
'shao'hua'ya'she'cao 少花鸭舌草
'tan'qi'zu'ge'zheng 痰气阻膈证
'fei'feng'wan 肺风丸
'bai'yao 白药
'liu'qu 六曲
'lu'qu 六曲
'fei'zi'guan'zhong'tang 榧子贯众汤
'fei'zi'guan'zhong'shang 榧子贯众汤
'pu'huang'gao 蒲黄膏
'yin'er'bao'tang'chang'rong'jiao'nang 银耳孢糖肠溶胶囊
'pi'dai'xiang 皮袋香
'shen'xian'hui'nong'san 神仙回脓散
'xing'ban'gan'mao'ke'li 杏办感冒颗粒
'bai'yu'bing'zi 白玉饼子
'zu'jing'wan 足精丸
'niu'huang'hua'du'dan 牛黄化毒丹
'niu'huang'hua'dai'dan 牛黄化毒丹
'zhi'ling'jiao'nang 志苓胶囊
'bi'xiao'jiu'fang 必效酒方
'ai'bing 癌病
'nuo'mi'jiao 糯米胶
'e'qu'yang'dan'suan'pian 鹅去氧胆酸片
'mi'chuan'ke'dou'san 秘传蝌蚪散
'pei'tu'sheng'jin 培土生金
'fan're'gan'ke 烦热干渴
'bai'bu'gou'jing'wan 百补构精丸
'bing'zhang'an'fu'qing'song'tie'gao 冰樟桉氟轻松贴膏
'chang'chun'fang 长春方
